pcds,NO2,NOx,PM10,PM25
BD1 1AA,22.22303,32.58718,13.83819,9.278991
BD1 1AE,22.22303,32.58718,13.83819,9.278991
BD1 1AF,22.22303,32.58718,13.83819,9.278991
BD1 1AG,22.22303,32.58718,13.83819,9.278991
BD1 1AH,22.22303,32.58718,13.83819,9.278991
BD1 1AJ,19.9274,28.65358,13.7559,9.361098
BD1 1BL,22.22303,32.58718,13.83819,9.278991
BD1 1EE,22.22303,32.58718,13.83819,9.278991
BD1 1EG,22.22303,32.58718,13.83819,9.278991
BD1 1EJ,22.22303,32.58718,13.83819,9.278991
BD1 1EQ,19.9274,28.65358,13.7559,9.361098
BD1 1EY,22.22303,32.58718,13.83819,9.278991
BD1 1EZ,22.22303,32.58718,13.83819,9.278991
BD1 1HA,22.22303,32.58718,13.83819,9.278991
BD1 1HJ,22.22303,32.58718,13.83819,9.278991
BD1 1HX,23.76262,35.51382,14.1627,9.55955
BD1 1HY,23.76262,35.51382,14.1627,9.55955
BD1 1HZ,23.76262,35.51382,14.1627,9.55955
BD1 1JA,23.76262,35.51382,14.1627,9.55955
BD1 1JB,22.22303,32.58718,13.83819,9.278991
BD1 1JD,23.76262,35.51382,14.1627,9.55955
BD1 1JE,22.22303,32.58718,13.83819,9.278991
BD1 1JF,23.76262,35.51382,14.1627,9.55955
BD1 1JL,19.9274,28.65358,13.7559,9.361098
BD1 1JN,23.76262,35.51382,14.1627,9.55955
BD1 1JP,19.9274,28.65358,13.7559,9.361098
BD1 1JR,23.76262,35.51382,14.1627,9.55955
BD1 1JT,23.76262,35.51382,14.1627,9.55955
BD1 1JU,23.76262,35.51382,14.1627,9.55955
BD1 1JX,23.76262,35.51382,14.1627,9.55955
BD1 1LA,23.76262,35.51382,14.1627,9.55955
BD1 1LB,23.76262,35.51382,14.1627,9.55955
BD1 1LH,22.22303,32.58718,13.83819,9.278991
BD1 1LN,22.22303,32.58718,13.83819,9.278991
BD1 1LW,19.9274,28.65358,13.7559,9.361098
BD1 1NE,22.22303,32.58718,13.83819,9.278991
BD1 1NF,22.22303,32.58718,13.83819,9.278991
BD1 1NN,23.76262,35.51382,14.1627,9.55955
BD1 1NQ,23.76262,35.51382,14.1627,9.55955
BD1 1NR,19.9274,28.65358,13.7559,9.361098
BD1 1NS,22.22303,32.58718,13.83819,9.278991
BD1 1NT,22.22303,32.58718,13.83819,9.278991
BD1 1PH,22.22303,32.58718,13.83819,9.278991
BD1 1PJ,22.22303,32.58718,13.83819,9.278991
BD1 1PL,19.9274,28.65358,13.7559,9.361098
BD1 1PP,22.22303,32.58718,13.83819,9.278991
BD1 1PR,22.22303,32.58718,13.83819,9.278991
BD1 1PT,22.22303,32.58718,13.83819,9.278991
BD1 1PU,22.22303,32.58718,13.83819,9.278991
BD1 1PZ,22.22303,32.58718,13.83819,9.278991
BD1 1QA,22.22303,32.58718,13.83819,9.278991
BD1 1QB,22.22303,32.58718,13.83819,9.278991
BD1 1QD,22.22303,32.58718,13.83819,9.278991
BD1 1QL,22.22303,32.58718,13.83819,9.278991
BD1 1QN,22.22303,32.58718,13.83819,9.278991
BD1 1QP,22.22303,32.58718,13.83819,9.278991
BD1 1QQ,19.9274,28.65358,13.7559,9.361098
BD1 1QR,22.22303,32.58718,13.83819,9.278991
BD1 1QS,22.22303,32.58718,13.83819,9.278991
BD1 1QT,22.22303,32.58718,13.83819,9.278991
BD1 1QU,22.22303,32.58718,13.83819,9.278991
BD1 1QX,22.22303,32.58718,13.83819,9.278991
