lsoa11cd,ASScore,BHSScore,CriScore,CYPScore,DepChi,EduScore,EmpScore,EnvScore,GBScore,HDDScore,IDCScore,IDOScore,IMDScore,IncScore,IndScore,OutScore,Pop16_59,Pop60_,TotPop,WBScore,WorkPop
E01010568,0.233,13.254,-0.497,-0.702,268,6.156,0.061,21.651,0.169,0.166,0.087,0.11,10.903,0.072,0.308,0.064,908,546,1722,-2.065,927.75
E01010569,0.371,18.581,1.26,0.316,304,26.616,0.15,23.301,0.12,1.087,0.215,0.303,35.343,0.208,0.471,-0.11,926,494,1724,-0.01,954.25
E01010570,0.222,26.168,-0.32,-1.16,233,3.968,0.029,3.755,1.032,-0.259,0.023,0.032,6.04,0.027,-1.181,-0.511,695,534,1462,-3.267,713.75
E01010571,0.327,24.283,1.633,0.762,327,29.556,0.113,26.316,0.586,0.644,0.257,0.172,32.622,0.175,0.409,0.383,996,357,1680,-0.457,1003.5
E01010572,0.307,9.448,0.098,-0.462,222,12.485,0.058,32.06,-0.075,-0.1,0.052,0.066,11.414,0.047,0.7,0.327,761,447,1430,-2.423,793
E01010573,0.249,26.391,0.02,-1.14,333,5.535,0.055,17.331,0.943,-0.049,0.064,0.06,11.205,0.055,0.267,-0.477,1005,491,1829,-2.021,1048.25
E01010574,0.203,15.708,0.176,-0.806,193,4.233,0.056,10.457,0.306,0.107,0.05,0.095,9.573,0.055,-0.419,-0.102,654,518,1365,-1.823,675.75
E01010575,0.26,6.721,0.068,-0.492,242,8.925,0.055,23.866,-0.538,0.139,0.048,0.093,10.712,0.058,0.524,-0.195,825,527,1594,-1.658,847.25
E01010576,0.216,16.475,-0.074,-1.08,197,3.892,0.039,16.439,0.441,-0.119,0.04,0.084,7.727,0.051,0.095,-0.145,771,487,1455,-2.645,781.75
E01010577,0.191,3.734,0.388,-1.266,293,2.483,0.048,35.103,-0.634,-0.521,0.028,0.045,8.878,0.035,0.967,-0.152,819,438,1550,-3.149,840.5
E01010578,0.234,15.098,1.058,-0.605,204,6.739,0.086,42.367,0.003,0.497,0.017,0.095,20.479,0.062,1.187,-0.057,963,389,1556,-0.549,964.75
E01010579,0.141,20.074,-0.225,-1.137,226,1.542,0.023,6.049,0.695,-0.292,0.016,0.037,4.691,0.024,-0.835,-0.328,728,557,1511,-3.252,743.25
