msoa11cd,ASScore,BHSScore,CriScore,CYPScore,DepChi,EduScore,EmpScore,EnvScore,GBScore,HDDScore,IDCScore,IDOScore,IMDScore,IncScore,IndScore,OutScore,Pop16_59,Pop60_,TotPop,WBScore,WorkPop
E02002183,0.112,19.715,0.378,-1.9,281,0.403,0.042,14.576,0.363,-0.504,0.026,0.03,7.156,0.032,0.135,-0.586,915,657,1853,-0.703,918
E02002184,0.112,11.007,-0.283,-1.347,266,0.739,0.028,16.502,0.053,-0.268,0.044,0.038,5.119,0.032,0.103,-0.503,780,549,1618,-1.96,779.75
E02002185,0.164,4.299,-0.363,-0.599,306,4.058,0.047,15.224,-0.888,-0.275,0.036,0.105,8.228,0.053,0.167,-0.558,903,416,1625,-2.386,880
E02002186,0.246,15.067,-0.311,-0.116,272,9.941,0.065,26.935,-0.094,0.389,0.075,0.09,14.606,0.068,0.772,-0.74,881,427,1609,-0.653,893.5
E02002187,0.144,6.001,-0.477,-1.196,266,1.458,0.029,22.5,-0.388,-0.634,0.032,0.044,4.754,0.031,0.539,-0.479,805,481,1587,-2.676,811.75
E02002188,0.229,21.854,0.14,-0.638,295,6.259,0.04,19.922,0.701,-0.297,0.043,0.076,9.945,0.047,0.439,-0.529,1001,547,1836,-2.038,1023.5
E02002189,0.346,25.699,0.386,0.265,370,23.499,0.101,46.402,0.85,0.688,0.09,0.155,26.63,0.112,1.249,0.164,882,462,1633,-1.292,905.75
E02002190,0.61,21.361,1.495,1.089,515,72.154,0.302,68.96,-1.396,1.694,0.353,0.469,74.227,0.371,1.675,1.107,1366,256,2137,2.765,1361.75
E02002191,0.53,14.727,1.047,0.947,413,56.307,0.187,57.557,-0.86,1.211,0.268,0.336,46.266,0.26,1.66,-0.018,896,259,1581,0.787,901.25
E02002192,0.201,13.923,-0.137,-0.974,371,2.744,0.042,19.816,0.294,-0.288,0.054,0.081,7.376,0.046,0.329,-0.228,1266,572,2314,-2.48,1321
E02002193,0.434,20.696,1.382,1.266,354,60.66,0.228,41.459,0.168,1.261,0.422,0.263,57.386,0.343,1.074,-0.157,817,388,1456,0.24,807.75
E02002194,0.411,15.867,0.953,0.943,221,41.476,0.134,21.439,-0.03,0.864,0.29,0.223,37.382,0.205,0.499,-0.383,825,302,1541,-0.095,840.5
E02002195,0.249,15.708,0.068,-1.14,293,5.535,0.055,17.331,0.306,-0.049,0.05,0.06,10.712,0.055,0.267,-0.195,825,491,1594,-2.021,847.25
E02002196,0.241,11.018,0.543,-0.136,296,10.759,0.048,34.015,0.07,0.045,0.043,0.093,12.123,0.048,1.007,-0.697,917,387,1576,-2.574,939
E02002197,0.234,9.469,1.058,-0.549,312,7.82,0.086,42.367,-0.27,0.497,0.082,0.095,20.479,0.076,1.187,-0.057,963,389,1596,-0.549,964.75
E02002198,0.307,16.475,0.098,-0.462,268,12.485,0.061,23.301,0.169,0.166,0.087,0.11,11.414,0.072,0.409,0.064,908,487,1680,-2.065,927.75
E02002199,0.245,17.863,0.786,-0.416,249,8.898,0.051,22.467,0.35,0.057,0.064,0.094,14.398,0.057,0.415,-0.031,933,385,1551,-1.727,951.75
E02002200,0.195,16.966,0.302,-0.753,247,3.968,0.058,24.162,0.306,0.037,0.049,0.134,14.151,0.068,0.608,0.239,921,372,1479,-0.834,938
E02002201,0.273,12.109,1.361,0.041,376,12.83,0.065,19.21,-0.39,0.325,0.067,0.152,20.905,0.093,0.129,0.194,1012,339,1745,-0.652,1029.25
E02002202,0.256,13.981,0.903,0.895,175,26.827,0.133,74.44,-0.919,1.467,0.302,0.325,40.389,0.182,1.669,1.562,1128,150,1453,0.969,1134.75
E02002203,0.438,7.784,1.676,0.965,302,43.958,0.158,29.311,-0.502,0.592,0.255,0.19,39.221,0.199,0.45,0.562,844,307,1524,-0.744,838.5
E02002204,0.234,13.094,0.432,-0.748,273,4.802,0.042,21.242,0.104,-0.168,0.08,0.086,13.764,0.061,0.464,-0.37,843,492,1600,-2.295,852.75
E02002205,0.257,14.887,0.623,0.022,278,14.529,0.07,43.957,0.219,0.406,0.09,0.133,21.655,0.092,1.323,-0.675,920,377,1564,-1.62,932.75
E02002206,0.385,12.373,0.92,0.472,370,27.174,0.098,35.481,-0.101,0.255,0.134,0.114,23.458,0.104,0.717,0.315,914,359,1749,-0.993,918.75
E02002207,0.368,12.26,0.977,0.238,518,25.26,0.145,51.941,-1.128,0.555,0.146,0.313,32.329,0.163,1.366,0.385,1170,258,1954,0.708,1162.5
E02002208,0.375,10.495,1.627,0.487,333,27.562,0.098,37.929,-0.494,0.513,0.185,0.164,29.106,0.12,0.847,0.508,878,333,1514,-0.361,849.25
E02002209,0.513,17.157,1.978,1.297,483,73.017,0.229,32.006,-0.196,1.028,0.362,0.435,58.621,0.317,0.674,0.444,826,253,1516,0.616,812.25
E02002210,0.379,20.244,0.821,0.37,337,28.473,0.083,43.098,0.414,0.329,0.197,0.114,27.098,0.128,0.976,0.527,891,333,1571,-0.459,870
E02002211,0.358,12.798,1.137,-0.08,428,20.488,0.129,25.472,-0.588,0.609,0.169,0.249,28.986,0.184,0.484,0.123,1075,290,1852,0.035,1061.25
E02002212,0.511,18.836,0.899,1.089,658,57.434,0.178,24.418,-0.524,0.794,0.293,0.325,43.747,0.284,0.564,-0.232,1099,199,2064,1.464,1047
E02002213,0.298,10.165,0.703,0.091,315,17.106,0.067,28.986,0.003,0.172,0.13,0.087,16.723,0.079,0.834,-0.235,1089,452,1781,-2.254,1069.75
E02002214,0.336,9.857,0.976,0.624,331,26.435,0.094,49.94,-0.622,0.551,0.145,0.159,27.172,0.124,1.265,0.529,838,312,1512,-0.473,855.75
E02002215,0.538,16.33,0.652,0.549,606,46.483,0.179,44.379,-1.175,0.906,0.221,0.61,46.668,0.264,0.971,0.511,1393,265,2211,1.367,1363.75
E02002216,0.617,21.464,1.043,0.761,493,64.197,0.235,58.164,-1.475,1.7,0.297,0.633,61.725,0.338,1.52,0.824,1180,227,1870,2.78,1151
E02002217,0.486,15.762,1.491,1.031,666,49.672,0.173,60.006,-0.735,1.09,0.247,0.432,47.912,0.259,1.49,0.858,1097,244,2055,1.297,1075.5
E02002218,0.481,15.862,1.687,0.953,543,49.898,0.225,12.067,-0.6,1.003,0.289,0.317,47.136,0.272,-0.21,-0.206,914,284,1720,1.053,871.75
E02002219,0.605,17.973,1.041,0.988,634,69.811,0.175,52.428,-1.486,1.069,0.232,0.621,55.03,0.304,1.28,0.673,1092,166,1858,1.942,1083.25
E02002220,0.566,20.002,1.241,0.905,614,62.055,0.191,44.012,-0.645,0.835,0.318,0.515,52.186,0.316,1.016,0.791,941,187,1710,1.657,922
E02002221,0.522,27.066,1.957,0.733,407,51.895,0.219,63.564,-0.586,1.556,0.278,0.616,61.466,0.304,1.445,1.249,1228,169,1804,3.163,1217
E02002222,0.435,14.83,1.617,0.714,453,39.76,0.142,40.373,-0.137,0.706,0.254,0.164,37.516,0.194,0.919,0.605,919,417,1789,-0.16,917.5
E02002223,0.535,20.992,1.241,0.944,585,58.277,0.2,41.624,-0.435,1.285,0.295,0.622,52.981,0.303,0.998,0.919,1169,181,1987,2.497,1109.5
E02002224,0.592,22.09,1.478,1.168,620,69.145,0.187,62.328,-0.585,1.108,0.26,0.622,56.981,0.31,1.393,1.252,1104,197,1921,2.373,1065
E02002225,0.323,19.247,0.968,0.401,330,22.748,0.121,31.264,0.376,0.484,0.235,0.162,26.417,0.165,0.896,-0.381,916,371,1718,-0.095,921.25
E02002226,0.314,21.92,1.6,0.152,236,19.168,0.068,58.645,-0.606,1.254,0.168,0.573,31.905,0.095,1.343,1.102,3455,113,3804,2.366,3436.75
E02002227,0.622,21.269,1.219,0.778,341,62.805,0.215,56.48,-0.541,1.53,0.397,0.469,58.727,0.338,1.277,1.016,967,233,1541,2.49,963.25
E02002228,0.517,18.778,1.537,1.376,542,65.361,0.181,36.209,-0.414,1.042,0.363,0.308,52.854,0.28,0.744,0.67,1108,311,1888,1.413,1109.5
E02002229,0.309,10.433,0.925,-0.092,323,15.11,0.07,29.686,-0.409,0.411,0.098,0.126,17.501,0.077,0.761,-0.131,869,379,1516,-0.692,887
E02002230,0.535,21.381,1.287,0.877,622,57.013,0.221,28.683,-0.936,0.999,0.304,0.679,52.993,0.344,0.216,0.968,1329,142,2093,2.571,1291.75
E02002231,0.372,16.694,0.876,0.478,413,31.578,0.146,24.717,-0.18,0.67,0.23,0.169,30.293,0.187,0.341,0.313,962,270,1627,-0.105,965.25
E02002232,0.504,18.288,1.786,1.003,450,57.151,0.217,54.126,-1.155,1.176,0.401,0.42,62.805,0.362,1.386,0.796,981,239,1643,2.127,976.25
E02002233,0.575,18.073,0.938,0.955,712,65.123,0.194,50.499,-0.813,1.065,0.335,0.475,54.662,0.335,1.168,0.887,1030,190,1876,1.85,995.75
E02002234,0.617,22.649,2.086,2.095,467,89.136,0.3,15.249,-0.159,1.7,0.364,0.459,72.553,0.385,-0.72,0.44,815,278,1516,1.365,801
E02002235,0.525,16.969,1.281,1.147,541,60.994,0.189,43.948,-0.176,0.894,0.261,0.424,46.584,0.313,0.808,0.796,993,244,1822,1.189,971.25
E02002236,0.371,6.903,1.366,0.336,376,23.407,0.112,49.169,-0.898,0.35,0.169,0.193,28.757,0.14,1.172,0.84,863,338,1588,-0.921,869.5
