pcdhl,ASScore,BHSScore,CriScore,CYPScore,DepChi,EduScore,EmpScore,EnvScore,GBScore,HDDScore,IDCScore,IDOScore,IMDScore,IncScore,IndScore,OutScore,Pop16_59,Pop60_,TotPop,WBScore,WorkPop
BD1,0.522,27.066,1.957,0.733,407,51.895,0.219,63.564,-0.586,1.556,0.278,0.616,61.466,0.304,1.445,1.299,1228,169,1804,3.354,1217
BD10,0.303,14.64,1.656,0.4,320,21.611,0.078,25.875,-0.238,0.364,0.125,0.189,22.905,0.095,0.415,0.194,1005,333,1691,-0.361,1011.25
BD11,0.328,23.508,0.733,0.202,372,21.043,0.072,16.442,0.804,-0.008,0.11,0.098,17.402,0.082,-0.16,0.282,1161,386,1919,-2.214,1135.75
BD12,0.384,14.857,1.287,0.531,285,30.149,0.096,36.237,0.016,0.595,0.198,0.157,26.721,0.117,0.74,0.459,888,333,1615,-0.481,910
BD13,0.312,15.258,0.82,0.091,315,18.894,0.087,35.545,0.003,0.427,0.157,0.164,24.331,0.123,0.999,-0.235,1004,366,1693,-0.965,994.5
BD14,0.331,10.433,0.925,0.231,323,21.711,0.074,29.686,-0.409,0.411,0.109,0.126,23.378,0.105,0.761,-0.086,869,379,1516,-0.447,887
BD15,0.38,14.2835,1.6,0.401,366,29.188,0.141,18.857,-0.344,0.592,0.245,0.164,30.649,0.174,0.385,-0.241,919,335,1720,-0.106,917.5
BD16,0.234,13.923,0.663,-0.605,310,6.739,0.077,24.162,0.003,0.26,0.06,0.095,16.534,0.062,0.608,-0.228,963,442,1596,-0.794,964.75
BD17,0.256,15.708,0.388,-0.492,256,8.925,0.061,23.866,0.169,0.166,0.087,0.11,11.205,0.072,0.471,-0.102,926,487,1594,-1.658,954.25
BD18,0.266,13.981,0.903,0.622,283,26.827,0.133,49.376,-0.732,0.656,0.206,0.198,32.376,0.178,1.217,0.407,964,285,1517,0.036,968
BD2,0.385,13.62,1.283,0.624,333,33.92,0.098,43.947,-0.494,0.551,0.185,0.172,29.52,0.131,1.078,0.576,891,308,1561,-0.42,898.5
BD20,0.253,17.985,-0.048,0.036,312,15.152,0.065,24.577,0.079,0.416,0.082,0.095,14.606,0.071,0.708,-0.591,882,462,1737,-1.211,920.5
BD21,0.576,19.545,1.11,1.08,493,64.972,0.175,65.392,-0.919,1.237,0.28,0.39,49.099,0.27,1.675,0.307,952,256,1675,1.576,947
BD22,0.258,14.677,0.623,0.036,296,17.135,0.07,41.421,0.07,0.406,0.095,0.133,21.655,0.092,1.268,-0.521,917,377,1564,-1.62,932.75
BD3,0.57,21.939,1.478,0.778,620,61.937,0.19,56.48,-0.735,1.108,0.27,0.587,53.073,0.31,1.317,1.01,1104,187,1921,2.373,1065
BD4,0.517,21.381,1.58,1.343,481,65.361,0.201,28.683,-0.349,1.042,0.339,0.343,52.993,0.284,0.477,0.693,1049,278,1715,1.24,1017.75
BD5,0.535,21.381,1.287,0.877,570,57.013,0.221,39.985,-0.813,0.999,0.304,0.528,52.993,0.335,0.808,0.968,1084,184,1879,2.49,1066.75
BD6,0.433,12.923,1.329,0.609,338,37.362,0.133,29.186,-0.446,0.565,0.228,0.202,30.596,0.189,0.499,0.547,890,308,1515,-0.501,908.25
BD7,0.504,20.35,1.296,0.821,469,57.013,0.164,50.511,-0.716,0.851,0.26,0.502,45.152,0.248,1.203,0.796,1141,224,1865,2.156,1109.5
BD8,0.541,21.347,1.3295,0.944,501,58.277,0.219,48.132,-0.596,1.166,0.278,0.616,57.274,0.317,1.081,0.824,1141,201,1830,2.742,1088.25
BD9,0.456,17.077,1.003,0.542,518,42.251,0.168,43.052,-0.559,0.696,0.2,0.325,36.119,0.233,0.971,0.168,1152,244,1926,1.306,1160.75
BD97,0.40599999999999997,20.057,1.5075,-0.055999999999999994,484,32.0685,0.16899999999999998,52.9655,-0.225,1.0265,0.1505,0.3555,43.8675,0.204,1.316,0.5960000000000001,1242.5,283.5,2010,1.12,1229.625
BD98,0.2495,21.3375,1.21,1.0725,176.5,30.3735,0.10350000000000001,71.7995,-0.8495,0.9710000000000001,0.218,0.2985,36.7885,0.1375,1.635,1.4304999999999999,1140,91.5,1408,2.395,1158.25
BD99,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
HX3,0.251,16.859,0.244,-0.301,426,9.855,0.056,28.091,0.428,-0.026,0.08,0.09,12.591,0.065,0.688,-0.105,1077,366,1869,-2.263,1090.25
LS19,0.245,12.86,1.738,-0.375,256,8.898,0.062,42.756,0.131,0.057,0.064,0.12,20.487,0.066,1.191,-0.031,933,424,1613,-1.973,951.75
LS20,0.249,26.391,0.02,-1.14,333,5.535,0.055,17.331,0.943,-0.049,0.064,0.06,11.205,0.055,0.267,-0.477,1005,491,1829,-2.021,1048.25
LS21,0.14,8.366,-0.123,-1.373,230,1.107,0.028,9.175,-0.01,-0.532,0.031,0.024,3.468,0.021,-0.385,-0.34,601,389,1220,-5.028,611.5
LS27,0.178,17.199,-1.01,-0.647,204,4.132,0.036,14.765,0.447,-0.358,0.026,0.041,5.064,0.03,0.137,-0.552,589,509,1302,-2.236,603.5
LS29,0.117,17.137,-0.283,-1.373,281,0.958,0.037,14.576,0.359,-0.504,0.026,0.034,6.091,0.032,0.135,-0.558,840,547,1625,-1.981,854.25
