pcds,ASScore,BHSScore,CriScore,CYPScore,DepChi,EduScore,EmpScore,EnvScore,GBScore,HDDScore,IDCScore,IDOScore,IMDScore,IncScore,IndScore,OutScore,Pop16_59,Pop60_,TotPop,WBScore,WorkPop
BD1 1AA,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1AE,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1AF,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1AG,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1AH,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1AJ,0.578,25.016,1.957,0.493,764,57.398,0.252,63.564,-0.453,1.556,0.284,0.616,67.256,0.346,1.445,1.249,1522,178,2464,2.789,1494.5
BD1 1AN,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1AW,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1BA,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1BG,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1BL,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1BX,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1BZ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DA,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DB,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DD,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
