pcds,pcdhl,lsoa11cd,msoa11cd,WD15CD
BD1 1AA,BD1,E01033690,E02002221,E05001347
BD1 1AE,BD1,E01033690,E02002221,E05001347
BD1 1AF,BD1,E01033690,E02002221,E05001347
BD1 1AG,BD1,E01033690,E02002221,E05001347
BD1 1AH,BD1,E01033690,E02002221,E05001347
BD1 1AJ,BD1,E01033693,E02002221,E05001359
BD1 1AN,BD1,E01033690,E02002221,E05001347
BD1 1AW,BD1,E01033690,E02002221,E05001347
BD1 1BA,BD1,E01033690,E02002221,E05001347
BD1 1BG,BD1,E01033690,E02002221,E05001347
BD1 1BL,BD1,E01033690,E02002221,E05001347
BD1 1BX,BD1,E01033690,E02002221,E05001347
BD1 1BZ,BD1,E01033690,E02002221,E05001347
BD1 1DA,BD1,E01033690,E02002221,E05001347
BD1 1DB,BD1,E01033690,E02002221,E05001347
BD1 1DD,BD1,E01033690,E02002221,E05001347
BD1 1DE,BD1,E01033690,E02002221,E05001347
BD1 1DF,BD1,E01033690,E02002221,E05001347
BD1 1DG,BD1,E01033690,E02002221,E05001347
BD1 1DH,BD1,E01033690,E02002221,E05001347
BD1 1DJ,BD1,E01033690,E02002221,E05001347
BD1 1DL,BD1,E01033690,E02002221,E05001347
BD1 1DN,BD1,E01033690,E02002221,E05001347
BD1 1DP,BD1,E01033690,E02002221,E05001347
BD1 1DQ,BD1,E01033690,E02002221,E05001347
BD1 1DR,BD1,E01033693,E02002221,E05001359
BD1 1DT,BD1,E01033690,E02002221,E05001347
BD1 1DU,BD1,E01033690,E02002221,E05001347
BD1 1DW,BD1,E01033690,E02002221,E05001347
BD1 1DX,BD1,E01033690,E02002221,E05001347
BD1 1DY,BD1,E01033690,E02002221,E05001347
BD1 1DZ,BD1,E01033690,E02002221,E05001347
BD1 1EA,BD1,E01033690,E02002221,E05001347
BD1 1EB,BD1,E01033690,E02002221,E05001347
BD1 1ED,BD1,E01033690,E02002221,E05001347
BD1 1EE,BD1,E01033690,E02002221,E05001347
BD1 1EF,BD1,E01033690,E02002221,E05001347
BD1 1EG,BD1,E01033690,E02002221,E05001347
BD1 1EH,BD1,E01033690,E02002221,E05001347
BD1 1EJ,BD1,E01033690,E02002221,E05001347
BD1 1EL,BD1,E01033690,E02002221,E05001347
BD1 1EP,BD1,E01033690,E02002221,E05001347
BD1 1EQ,BD1,E01033693,E02002221,E05001359
BD1 1ER,BD1,E01033690,E02002221,E05001347
BD1 1ES,BD1,E01033690,E02002221,E05001347
BD1 1ET,BD1,E01033690,E02002221,E05001347
BD1 1EU,BD1,E01033690,E02002221,E05001347
BD1 1EW,BD1,E01033690,E02002221,E05001347
BD1 1EX,BD1,E01033690,E02002221,E05001347
BD1 1EY,BD1,E01033690,E02002221,E05001347
BD1 1EZ,BD1,E01033690,E02002221,E05001347
BD1 1FB,BD1,E01033693,E02002221,E05001359
BD1 1FD,BD1,E01033690,E02002221,E05001347
BD1 1FF,BD1,E01033693,E02002221,E05001359
BD1 1FG,BD1,E01033690,E02002221,E05001347
BD1 1FH,BD1,E01033690,E02002221,E05001347
BD1 1FN,BD1,E01033690,E02002221,E05001347
BD1 1FW,BD1,E01033693,E02002221,E05001359
BD1 1HA,BD1,E01033690,E02002221,E05001347
BD1 1HB,BD1,E01033690,E02002221,E05001347
BD1 1HD,BD1,E01010834,E02002226,E05001347
BD1 1HE,BD1,E01033690,E02002221,E05001347
BD1 1HH,BD1,E01033690,E02002221,E05001347
BD1 1HJ,BD1,E01033690,E02002221,E05001347
BD1 1HL,BD1,E01033690,E02002221,E05001347
BD1 1HN,BD1,E01033690,E02002221,E05001347
BD1 1HP,BD1,E01033691,E02002221,E05001347
BD1 1HQ,BD1,E01033690,E02002221,E05001347
BD1 1HR,BD1,E01033690,E02002221,E05001347
BD1 1HS,BD1,E01033690,E02002221,E05001347
BD1 1HT,BD1,E01033690,E02002221,E05001347
BD1 1HU,BD1,E01033690,E02002221,E05001347
BD1 1HW,BD1,E01033690,E02002221,E05001347
BD1 1HX,BD1,E01033690,E02002221,E05001347
BD1 1HY,BD1,E01033690,E02002221,E05001347
BD1 1HZ,BD1,E01033690,E02002221,E05001347
BD1 1JA,BD1,E01033690,E02002221,E05001347
BD1 1JB,BD1,E01033690,E02002221,E05001347
BD1 1JD,BD1,E01033690,E02002221,E05001347
BD1 1JE,BD1,E01033690,E02002221,E05001347
BD1 1JF,BD1,E01033690,E02002221,E05001347
BD1 1JG,BD1,E01033690,E02002221,E05001347
BD1 1JJ,BD1,E01033690,E02002221,E05001347
BD1 1JL,BD1,E01033693,E02002221,E05001359
BD1 1JN,BD1,E01033690,E02002221,E05001347
BD1 1JP,BD1,E01033693,E02002221,E05001359
BD1 1JQ,BD1,E01033690,E02002221,E05001347
BD1 1JR,BD1,E01033693,E02002221,E05001359
BD1 1JT,BD1,E01033690,E02002221,E05001347
BD1 1JU,BD1,E01033690,E02002221,E05001347
BD1 1JW,BD1,E01033690,E02002221,E05001347
BD1 1JX,BD1,E01033690,E02002221,E05001347
BD1 1JY,BD1,E01033690,E02002221,E05001347
BD1 1JZ,BD1,E01033690,E02002221,E05001347
BD1 1LA,BD1,E01010834,E02002226,E05001347
BD1 1LB,BD1,E01010834,E02002226,E05001347
