"Bradford City Council"

"Estimated Background Air Pollution Maps (base year 2018), downloaded from https://uk-air.defra.gov.uk/data/laqm-background-home.  Total annual mean concentrations based on 1 km x 1 km grid squares are provided. For further information please refer to the LAQM Support Helpdesk at https://laqm.defra.gov.uk/helpdesk/laqm-helpdesk.html "

Concentrations are as ug.m-3 NOx as NO2
Local_Auth_Code,x,y,geo_area,EU_zone_agglom_01,Total_NOx_18,Motorway_in_18,Motorway_out_18,Trunk_A_Rd_in_18,Trunk_A_Rd_out_18,Primary_A_Rd_in_18,Primary_A_Rd_out_18,Minor_Rd+Cold_Start_in_18,Minor_Rd+Cold_Start_out_18,Industry_in_18,Industry_out_18,Domestic_in_18,Domestic_out_18,Aircraft_in_18,Aircraft_out_18,Rail_in_18,Rail_out_18,Other_in_18,Other_out_18,Point_Sources_18,Rural_18
30,407500,451500,6,34,7.107028,0.000000,0.000000,0.000000,0.000000,0.000000,0.435516,0.177957,0.356013,0.008489,0.417858,0.007244,0.225171,0.000000,0.008849,0.000000,0.014798,0.037917,0.332897,0.102550,4.981769
30,403500,450500,6,34,7.097281,0.000000,0.001866,0.000000,0.000000,0.000000,0.382585,0.074022,0.329857,0.022707,0.456995,0.005193,0.233068,0.000000,0.000000,0.000000,0.020804,0.029081,0.452167,0.125745,4.963190
30,404500,450500,6,34,7.013299,0.000000,0.000000,0.000000,0.000000,0.000000,0.396806,0.029628,0.351212,0.008282,0.454047,0.001756,0.227060,0.000000,0.000000,0.000000,0.018775,0.027830,0.415471,0.119242,4.963190
30,405500,450500,6,34,7.151680,0.000000,0.000000,0.000000,0.000000,0.000000,0.459329,0.079476,0.362483,0.023558,0.449653,0.005084,0.235926,0.000000,0.002050,0.000000,0.017736,0.035085,0.381035,0.118496,4.981769
30,406500,450500,6,34,7.684399,0.000000,0.000000,0.000000,0.000000,0.398029,0.456772,0.116182,0.408824,0.015819,0.458677,0.031763,0.264902,0.000000,0.006316,0.000000,0.017143,0.037117,0.375427,0.115659,4.981769
30,407500,450500,6,34,7.539258,0.000000,0.000000,0.000000,0.000000,0.000000,0.516196,0.201224,0.459327,0.008950,0.466093,0.057528,0.301994,0.000000,0.008957,0.000000,0.016708,0.042111,0.365304,0.113100,4.981769
30,402500,449500,6,34,7.372500,0.000000,0.006792,0.000000,0.000000,0.000000,0.412434,0.062649,0.370078,0.040319,0.474202,0.004165,0.277682,0.000000,0.000000,0.000000,0.024730,0.036182,0.553650,0.113532,4.996086
30,403500,449500,6,34,7.346862,0.000000,0.001900,0.000000,0.000000,0.000000,0.398560,0.121440,0.382268,0.008706,0.473774,0.005054,0.265520,0.000000,0.000000,0.000000,0.022013,0.042221,0.500675,0.128645,4.996086
30,404500,449500,6,34,7.392387,0.000000,0.000000,0.000000,0.000000,0.000000,0.430376,0.091928,0.399996,0.094578,0.468889,0.006016,0.263215,0.000000,0.000000,0.000000,0.020386,0.034966,0.462142,0.123809,4.996086
30,405500,449500,6,34,7.636017,0.000000,0.000000,0.000000,0.000000,0.305186,0.460118,0.027580,0.429559,0.011989,0.497590,0.005053,0.279662,0.000000,0.002050,0.000000,0.019373,0.034668,0.427605,0.122195,5.013387
