"Bradford City Council"

"Estimated Background Air Pollution Maps (base year 2018), downloaded from https://uk-air.defra.gov.uk/data/laqm-background-home.  Total annual mean concentrations based on 1 km x 1 km grid squares are provided. For further information please refer to the LAQM Support Helpdesk at https://laqm.defra.gov.uk/helpdesk/laqm-helpdesk.html "

Concentrations are as ug.m-3 gravimetric PM10
Local_Auth_Code,x,y,geo_area,EU_zone_agglom_01,Total_PM10_18,Motorway_in_18,Motorway_out_18,Trunk_A_Rd_in_18,Trunk_A_Rd_out_18,Primary_A_Rd_in_18,Primary_A_Rd_out_18,Minor_Rd+Cold_Start_in_18,Minor_Rd+Cold_Start_out_18,Brake+Tyre_in_18,Brake+Tyre_out_18,Road_Abrasion_in_18,Road_Abrasion_out_18,Industry_in_18,Industry_out_18,Domestic_in_18,Domestic_out_18,Rail_in_18,Rail_out_18,Other_in_18,Other_out_18,PM_secondary_18,Residual+Salt_18,Point_Sources_18
30,407500,451500,6,34,8.809848,0.000000,0.000000,0.000000,0.000000,0.000000,0.004412,0.001699,0.004105,0.006828,0.024269,0.002406,0.011394,0.001818,0.185028,0.003560,0.109403,0.000000,0.000636,0.002682,0.025701,4.703774,3.697146,0.024986
30,403500,450500,6,34,8.619308,0.000000,0.000012,0.000000,0.000000,0.000000,0.003844,0.000707,0.003992,0.002861,0.022016,0.001015,0.010171,0.002691,0.195248,0.002146,0.133346,0.000000,0.000728,0.002025,0.033386,4.664870,3.514171,0.026077
30,404500,450500,6,34,8.619066,0.000000,0.000000,0.000000,0.000000,0.000000,0.003995,0.000280,0.004122,0.001168,0.023222,0.000402,0.010670,0.002270,0.189170,0.001478,0.124634,0.000000,0.000690,0.001838,0.030977,4.664870,3.533139,0.026139
30,405500,450500,6,34,8.732638,0.000000,0.000000,0.000000,0.000000,0.000000,0.004645,0.000758,0.004207,0.003123,0.025204,0.001076,0.011765,0.003994,0.186741,0.002135,0.124005,0.000000,0.000688,0.002418,0.028963,4.703774,3.602214,0.026930
30,406500,450500,6,34,8.891666,0.000000,0.000000,0.000000,0.000000,0.004120,0.004624,0.000992,0.004776,0.014524,0.026743,0.007800,0.012235,0.009295,0.212429,0.018718,0.130694,0.000000,0.000652,0.002988,0.029135,4.703774,3.682076,0.026090
30,407500,450500,6,34,8.841368,0.000000,0.000000,0.000000,0.000000,0.000000,0.005241,0.002249,0.005411,0.007423,0.030006,0.002552,0.013743,0.014659,0.221339,0.027171,0.141995,0.000000,0.000629,0.003639,0.029191,4.703774,3.605543,0.026804
30,402500,449500,6,34,8.755772,0.000000,0.000044,0.000000,0.000000,0.000000,0.004142,0.000750,0.004552,0.002102,0.024268,0.000778,0.011169,0.009838,0.209460,0.001427,0.163467,0.000000,0.000834,0.002492,0.040664,4.645153,3.609225,0.025408
30,403500,449500,6,34,8.698828,0.000000,0.000012,0.000000,0.000000,0.000000,0.004013,0.001156,0.004606,0.004773,0.024319,0.001645,0.011012,0.001106,0.195544,0.002001,0.151667,0.000000,0.000765,0.002905,0.037133,4.645153,3.584157,0.026861
30,404500,449500,6,34,8.889381,0.000000,0.000000,0.000000,0.000000,0.000000,0.004346,0.000877,0.004728,0.003612,0.025785,0.001245,0.011666,0.024983,0.193018,0.002497,0.145769,0.000000,0.000730,0.002458,0.034707,4.645153,3.760698,0.027112
30,405500,449500,6,34,9.119349,0.000000,0.000000,0.000000,0.000000,0.003125,0.004658,0.000086,0.005051,0.008712,0.027614,0.005039,0.012463,0.002648,0.210404,0.002335,0.148200,0.000000,0.000707,0.002399,0.032849,4.679382,3.945756,0.027921
30,406500,449500,6,34,9.272113,0.000000,0.000000,0.000000,0.000000,0.005743,0.004860,0.002655,0.005442,0.024295,0.028933,0.012276,0.013009,0.029923,0.191532,0.044313,0.153616,0.000000,0.000674,0.003472,0.033012,4.679382,4.011895,0.027082
30,407500,449500,6,34,9.313576,0.000000,0.000000,0.000000,0.000000,0.003668,0.005077,0.007287,0.005656,0.026256,0.030884,0.011644,0.013791,0.089424,0.223827,0.127503,0.151156,0.000000,0.000657,0.009450,0.031818,4.679382,3.868208,0.027890
30,408500,449500,6,34,9.066139,0.000000,0.000000,0.000000,0.000000,0.005134,0.004714,0.002550,0.006514,0.021474,0.031621,0.011071,0.013748,0.031094,0.223402,0.039902,0.170133,0.000000,0.000672,0.003920,0.032487,4.679382,3.758540,0.029781
30,402500,448500,6,34,8.743418,0.000000,0.000044,0.000000,0.000000,0.000000,0.004624,0.000728,0.005201,0.002756,0.027421,0.000963,0.012548,0.002334,0.216848,0.003756,0.181806,0.000000,0.000932,0.003281,0.044464,4.645153,3.564357,0.026202
30,403500,448500,6,34,8.725158,0.000000,0.000012,0.000000,0.000000,0.000000,0.004614,0.001418,0.005351,0.005659,0.027827,0.001950,0.012522,0.010125,0.210437,0.004372,0.179212,0.000000,0.000873,0.003243,0.041694,4.645153,3.542438,0.028257
30,404500,448500,6,34,8.831400,0.000000,0.000000,0.000000,0.000000,0.002770,0.004714,0.000704,0.005638,0.009713,0.028990,0.005152,0.012903,0.006512,0.215969,0.011979,0.177899,0.000000,0.000834,0.002860,0.039615,4.645153,3.631033,0.028963
