"Bradford City Council"

"Estimated Background Air Pollution Maps (base year 2018), downloaded from https://uk-air.defra.gov.uk/data/laqm-background-home.  Total annual mean concentrations based on 1 km x 1 km grid squares are provided. For further information please refer to the LAQM Support Helpdesk at https://laqm.defra.gov.uk/helpdesk/laqm-helpdesk.html "

Concentrations are as ug.m-3 gravimetric PM2.5
Local_Auth_Code,x,y,geo_area,EU_zone_agglom_01,Total_PM2.5_18,Motorway_in_18,Motorway_out_18,Trunk_A_Rd_in_18,Trunk_A_Rd_out_18,Primary_A_Rd_in_18,Primary_A_Rd_out_18,Minor_Rd+Cold_Start_in_18,Minor_Rd+Cold_Start_out_18,Brake_tyre_in_18,Brake_tyre_out_18,Road_Abrasion_in_18,Road_Abrasion_out_18,Industry_in_18,Industry_out_18,Domestic_in_18,Domestic_out_18,Rail_in_18,Rail_out_18,Other_in_18,Other_out_18,PM_secondary_18,Residual+Salt_18,Point_Sources_18
30,407500,451500,6,34,6.033720,0.000000,0.000000,0.000000,0.000000,0.000000,0.004453,0.001715,0.004143,0.003790,0.013470,0.001311,0.006209,0.000622,0.098890,0.003514,0.107691,0.000000,0.000323,0.002673,0.025466,4.100623,1.637101,0.021727
30,403500,450500,6,34,5.969620,0.000000,0.000012,0.000000,0.000000,0.000000,0.003879,0.000714,0.004029,0.001588,0.012220,0.000553,0.005542,0.001264,0.092476,0.002174,0.131093,0.000000,0.000411,0.002021,0.033254,4.068333,1.587506,0.022550
30,404500,450500,6,34,5.961353,0.000000,0.000000,0.000000,0.000000,0.000000,0.004032,0.000283,0.004160,0.000648,0.012889,0.000219,0.005815,0.001879,0.090434,0.001471,0.122559,0.000000,0.000376,0.001838,0.030825,4.068333,1.593060,0.022532
30,405500,450500,6,34,6.017916,0.000000,0.000000,0.000000,0.000000,0.000000,0.004687,0.000765,0.004245,0.001733,0.013989,0.000586,0.006411,0.002039,0.091776,0.002102,0.121924,0.000000,0.000360,0.002419,0.028770,4.100623,1.612371,0.023115
30,406500,450500,6,34,6.124323,0.000000,0.000000,0.000000,0.000000,0.004158,0.004666,0.001001,0.004819,0.008062,0.014843,0.004251,0.006667,0.002667,0.115944,0.018332,0.128489,0.000000,0.000334,0.002956,0.028891,4.100623,1.654778,0.022840
30,407500,450500,6,34,6.105110,0.000000,0.000000,0.000000,0.000000,0.000000,0.005288,0.002270,0.005460,0.004120,0.016654,0.001391,0.007489,0.004018,0.119651,0.026606,0.139576,0.000000,0.000312,0.003593,0.028884,4.100623,1.615787,0.023387
30,402500,449500,6,34,6.030473,0.000000,0.000044,0.000000,0.000000,0.000000,0.004180,0.000757,0.004593,0.001167,0.013469,0.000424,0.006087,0.006079,0.102752,0.001452,0.160648,0.000000,0.000470,0.002494,0.040541,4.051841,1.612128,0.021347
30,403500,449500,6,34,5.998960,0.000000,0.000012,0.000000,0.000000,0.000000,0.004049,0.001167,0.004648,0.002649,0.013498,0.000896,0.006001,0.000378,0.093486,0.002032,0.149102,0.000000,0.000420,0.002911,0.036991,4.051841,1.605857,0.023023
30,404500,449500,6,34,6.051501,0.000000,0.000000,0.000000,0.000000,0.000000,0.004385,0.000885,0.004771,0.002005,0.014311,0.000678,0.006357,0.015631,0.092841,0.002538,0.143337,0.000000,0.000387,0.002452,0.034538,4.051841,1.651371,0.023172
30,405500,449500,6,34,6.146019,0.000000,0.000000,0.000000,0.000000,0.003153,0.004700,0.000086,0.005097,0.004835,0.015327,0.002746,0.006791,0.000234,0.107267,0.002302,0.145699,0.000000,0.000364,0.002400,0.032627,4.080245,1.708399,0.023745
30,406500,449500,6,34,6.233708,0.000000,0.000000,0.000000,0.000000,0.005796,0.004904,0.002680,0.005491,0.013485,0.016059,0.006690,0.007089,0.009623,0.087137,0.043408,0.150988,0.000000,0.000339,0.003349,0.032749,4.080245,1.740256,0.023421
