Postcode,Description,Grid Reference,X (easting),Y (northing),Latitude,Longitude
BD1 1AA,BD1 1AA,SE 16515 33357,416515,433357,53.796262,-1.7507642
BD1 1AE,BD1 1AE,SE 16346 33038,416346,433038,53.7934,-1.7533466
BD1 1AF,BD1 1AF,SE 16546 33216,416546,433216,53.794994,-1.7503011
BD1 1AG,BD1 1AG,SE 16346 33038,416346,433038,53.7934,-1.7533466
BD1 1AH,BD1 1AH,SE 16620 33157,416620,433157,53.794461,-1.7491809
BD1 1AJ,BD1 1AJ,SE 16177 34017,416177,434017,53.802205,-1.7558609
BD1 1AN,postcode not found,,,,,
BD1 1AW,postcode not found,,,,,
BD1 1BA,postcode not found,,,,,
BD1 1BG,postcode not found,,,,,
BD1 1BL,BD1 1BL,SE 16394 33121,416394,433121,53.794145,-1.7526135
BD1 1BX,postcode not found,,,,,
BD1 1BZ,postcode not found,,,,,
BD1 1DA,postcode not found,,,,,
BD1 1DB,postcode not found,,,,,
BD1 1DD,postcode not found,,,,,
BD1 1DE,postcode not found,,,,,
BD1 1DF,postcode not found,,,,,
BD1 1DG,postcode not found,,,,,
BD1 1DH,postcode not found,,,,,
BD1 1DJ,postcode not found,,,,,
BD1 1DL,postcode not found,,,,,
BD1 1DN,postcode not found,,,,,
BD1 1DP,postcode not found,,,,,
BD1 1DQ,postcode not found,,,,,
BD1 1DR,postcode not found,,,,,
BD1 1DT,postcode not found,,,,,
BD1 1DU,postcode not found,,,,,
BD1 1DW,postcode not found,,,,,
BD1 1DX,postcode not found,,,,,
BD1 1DY,postcode not found,,,,,
BD1 1DZ,postcode not found,,,,,
BD1 1EA,postcode not found,,,,,
BD1 1EB,postcode not found,,,,,
BD1 1ED,postcode not found,,,,,
BD1 1EE,BD1 1EE,SE 16414 33061,416414,433061,53.793605,-1.7523131
BD1 1EF,postcode not found,,,,,
BD1 1EG,BD1 1EG,SE 16476 33169,416476,433169,53.794574,-1.7513662
BD1 1EH,postcode not found,,,,,
BD1 1EJ,BD1 1EJ,SE 16457 33102,416457,433102,53.793972,-1.7516582
BD1 1EL,postcode not found,,,,,
BD1 1EP,postcode not found,,,,,
BD1 1EQ,BD1 1EQ,SE 16177 34017,416177,434017,53.802205,-1.7558609
BD1 1ER,postcode not found,,,,,
BD1 1ES,postcode not found,,,,,
BD1 1ET,postcode not found,,,,,
BD1 1EU,postcode not found,,,,,
BD1 1EW,postcode not found,,,,,
BD1 1EX,postcode not found,,,,,
BD1 1EY,BD1 1EY,SE 16497 33085,416497,433085,53.793818,-1.7510519
BD1 1EZ,BD1 1EZ,SE 16488 33061,416488,433061,53.793603,-1.7511898
BD1 1FB,postcode not found,,,,,
BD1 1FD,postcode not found,,,,,
BD1 1FF,postcode not found,,,,,
BD1 1FG,postcode not found,,,,,
BD1 1FH,postcode not found,,,,,
